Labels,toxic,severe_toxic,obscene,threat,insult,identity_hate
Logistic Regression Binary Relevance Accuracy,0.9238644534058582,0.9923411172590578,0.9626121479258495,0.9958110600518928,0.9612210447341274,0.9901216043014787
MultinomialNB Binary Relevance Accuracy,0.9346025196161181,0.9937634811966614,0.9640188814905124,0.9967019913095126,0.9602363312388633,0.9898871487073682
Logistic Regression Classifier Chain Accuracy,0.9238644534058582,0.9923411172590578,0.9580793397730469,0.9958735815436557,0.9532808152802525,0.9897308449779612
MultinomialNB Classifier Chain Accuracy,0.9346025196161181,0.9841039107193098,0.9479039669886523,0.987511332020382,0.9424958579511707,0.9345868892431773
